Dia,nome_fundo,cnpj_do_fundo,classe_do_fundo,mercado_ativo_investido,Symbol_Ativo_Investido,PL_Investido
2020-04-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,IVVB11,30220062.1649275
2020-04-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Fundo,FIC-RV-IBOV,68948318.84605624
2020-05-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-ENGI11-2027,123121893.13510779
2020-05-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-VALE25-2029,100771078.765937
2020-05-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,69543829.88158323
2020-05-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,58052322.56359671
2020-05-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,138711889.1029916
2020-05-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,58936419.83809089
2020-05-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Fundo,FIC-FIRF-DI,45511494.081071556
2020-05-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,101226296.35055918
2020-05-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-PRE-2029,60638639.071122445
2020-05-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,51460700.12249932
2020-05-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CDB-BBAS3-2026,47762518.18778982
2020-05-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Fundo,FIC-FIRF-CRED,57062516.9779699
2020-05-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,LF-ITAU-2029,22590179.289813552
2020-05-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,19099868.147113048
2020-05-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,30377488.816012543
2020-05-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,19587314.21567242
2020-05-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Fundo,FIC-FIRF-DI,15528546.528201595
2020-05-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,IVVB11,52039573.27078167
2020-05-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,BOVA11,25550402.474782452
2020-05-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,HGLG11,16138462.423025372
2020-05-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Tesouro Direto,TESOURO-SEL-2027,53312330.88437979
2020-05-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Renda Fixa Privada,CRA-JBSB11-2027,31533693.773573533
2020-05-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Fundo,FIC-MM-MACRO,69801892.53113055
2020-05-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,BOVA11,52576853.99327287
2020-05-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,VALE3,42087590.14447916
2020-05-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,PETR4,25268450.4834077
2020-05-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,HGLG11,15526001.459932273
2020-05-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,AAPL34,19420101.18015983
2020-05-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,IVVB11,25943776.78417568
2020-05-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Fundo,FIC-RV-IBOV,65874074.96374275
2020-06-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-ENGI11-2027,128907334.93521857
2020-06-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-VALE25-2029,98225060.95592424
2020-06-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,71448422.93860582
2020-06-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,57924498.512036905
2020-06-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,136671758.77978304
2020-06-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,60290446.49592392
2020-06-30,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Fundo,FIC-FIRF-DI,50000289.87090567
2020-06-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,88294680.74628928
2020-06-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-PRE-2029,48414246.55373073
2020-06-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,48837787.436925896
2020-06-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CDB-BBAS3-2026,48889402.27715774
2020-06-30,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Fundo,FIC-FIRF-CRED,46623052.72044382
2020-06-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,LF-ITAU-2029,23648948.51077074
2020-06-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,19233570.62959603
2020-06-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,30454059.77887905
2020-06-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,20503492.03651203
2020-06-30,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Fundo,FIC-FIRF-DI,15735198.464300023
2020-06-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,IVVB11,56447923.75454664
2020-06-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,BOVA11,29531493.745933667
2020-06-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,HGLG11,19093659.003486946
2020-06-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Tesouro Direto,TESOURO-SEL-2027,58579858.28394333
2020-06-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Renda Fixa Privada,CRA-JBSB11-2027,32070961.03267147
2020-06-30,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Fundo,FIC-MM-MACRO,73033516.32967296
2020-06-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,BOVA11,36156461.17835479
2020-06-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,VALE3,26933309.75984116
2020-06-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,PETR4,16947109.300800182
2020-06-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,HGLG11,8448866.787184618
2020-06-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,AAPL34,16009028.436753137
2020-06-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,IVVB11,16001149.288300421
2020-06-30,AMW Titan RV,12.345.678/0001-07,Renda Variável,Fundo,FIC-RV-IBOV,40612770.510259114
2020-06-30,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,WEGE3,14760612.499570768
2020-06-30,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,ITUB4,13551571.590606995
2020-06-30,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,BBDC4,8621130.772470515
2020-06-30,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,MXRF11,9264489.792099392
2020-06-30,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,GOGL34,9182876.142996343
2020-06-30,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,SMAL11,9525844.831818674
2020-06-30,AMW Delta RV,12.345.678/0001-08,Renda Variável,Fundo,FIC-RV-IBOV,28058896.139158063
2020-07-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-ENGI11-2027,137572142.47240803
2020-07-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-VALE25-2029,108758034.54947613
2020-07-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,69063234.09759565
2020-07-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,55804609.955412544
2020-07-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,141018575.6741817
2020-07-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,63519211.896992356
2020-07-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Fundo,FIC-FIRF-DI,60781992.78276376
2020-07-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,101023613.21899712
2020-07-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-PRE-2029,56981363.08621987
2020-07-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,55177732.216960035
2020-07-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CDB-BBAS3-2026,51654354.96340962
2020-07-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Fundo,FIC-FIRF-CRED,49317157.995425396
2020-07-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,LF-ITAU-2029,26804664.923659664
2020-07-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,21409660.123769015
2020-07-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,32934305.00506378
2020-07-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,23381550.779776476
2020-07-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Fundo,FIC-FIRF-DI,16490095.98988447
2020-07-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,IVVB11,57816844.9521491
2020-07-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,BOVA11,31397473.47194388
2020-07-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Bolsa,HGLG11,18017515.840836745
2020-07-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Tesouro Direto,TESOURO-SEL-2027,56937886.56941611
2020-07-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Renda Fixa Privada,CRA-JBSB11-2027,33116626.934350234
2020-07-31,AMW Vanguarda MM,12.345.678/0001-04,Multimercado,Fundo,FIC-MM-MACRO,71370027.92555846
2020-07-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,BOVA11,34751841.134921715
2020-07-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,VALE3,24491292.30277803
2020-07-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,PETR4,16595340.132400481
2020-07-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,HGLG11,8038952.07773986
2020-07-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,AAPL34,14768437.286354613
2020-07-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Bolsa,IVVB11,14409354.506741315
2020-07-31,AMW Titan RV,12.345.678/0001-07,Renda Variável,Fundo,FIC-RV-IBOV,38480066.614123665
2020-07-31,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,WEGE3,13914808.240763089
2020-07-31,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,ITUB4,13711665.203169173
2020-07-31,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,BBDC4,7208147.632596002
2020-07-31,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,MXRF11,10497161.147807043
2020-07-31,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,GOGL34,8598148.989740785
2020-07-31,AMW Delta RV,12.345.678/0001-08,Renda Variável,Bolsa,SMAL11,7932637.163697041
2020-07-31,AMW Delta RV,12.345.678/0001-08,Renda Variável,Fundo,FIC-RV-IBOV,28373760.831392623
2020-08-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-ENGI11-2027,133047554.09083754
2020-08-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,DEB-VALE25-2029,119458047.0909137
2020-08-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,69051375.85676573
2020-08-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,52569573.33739463
2020-08-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,160211034.9451105
2020-08-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,58930495.74386874
2020-08-31,AMW Heros RF,12.345.678/0001-01,Renda Fixa,Fundo,FIC-FIRF-DI,51776385.92245081
2020-08-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,93753624.96727905
2020-08-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Tesouro Direto,TESOURO-PRE-2029,51033810.82218324
2020-08-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CRA-JBSB11-2027,49958146.21612975
2020-08-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Renda Fixa Privada,CDB-BBAS3-2026,47910315.069979094
2020-08-31,AMW Atlas RF,12.345.678/0001-02,Renda Fixa,Fundo,FIC-FIRF-CRED,45110192.46270011
2020-08-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,LF-ITAU-2029,23919025.065225337
2020-08-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Renda Fixa Privada,CRI-MRVL11-2028,19137156.836289063
2020-08-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-IPCA-2035,29578172.509327635
2020-08-31,AMW Aurora RF,12.345.678/0001-03,Renda Fixa,Tesouro Direto,TESOURO-SEL-2027,21871072.507235184
